RSI_14,MACD_DIF,MACD_signal,MACD_hist,k,d,Upper%,Lower%,bios_MA,bios_Volume,FR
49.33347868401791,-54.806365507854025,-94.16781796579824,39.36145245794421,27.905797425686426,29.195771457170178,1.174577083761378,1.2343727774177775,0.011113077457131875,-0.34979201747621436,0.0
51.151065596912794,-41.647644245927495,-83.66378322182409,42.016138975896595,42.60564048577434,31.7888796631039,1.0393233034157625,0.8370891715632546,0.02710260429531572,0.04577202998123936,0.0
49.25524419005203,-36.863145886914936,-74.30365575484225,37.44050986792732,56.02978710060281,42.18040833735456,0.18358821453217403,1.094154150884752,0.008264979814847332,-0.0945239371161714,0.0
50.43576351473329,-29.11434351575781,-65.26579330702536,36.15144979126755,67.62211540881292,55.41918099839672,0.40557918686318933,1.6762030707394628,0.01709326527760409,-0.4365320056728578,0.0
49.22182363087612,-26.235887600854312,-57.45981216579115,31.223924564936837,61.07567122187448,61.5758579104301,0.47613529826926737,1.0652473902097266,-0.0004626951318738605,-0.4691083585646544,0.0
55.41891927839249,-4.7813037632417945,-46.924110485281275,42.14280672203948,72.24596420587325,66.98125027885358,1.1122486161961418,0.3482748619914314,0.05726786426680736,-0.04303463337025732,0.0
53.82538975341139,7.8248950128163415,-35.974309385661755,43.799204398478096,76.10669064269165,69.80944202347983,0.397658762057876,0.773713826366564,0.03586339297072868,0.26270259228212217,0.0
54.83969707514612,20.700351090778895,-24.639377290373623,45.33972838115252,84.72395243128351,77.69220242661618,2.3040121805891682,0.3950730312898863,0.03889018758015923,0.44335587032847307,0.0
54.6223871815816,30.03274145282012,-13.704953541734874,43.73769499455499,80.75265387416535,80.52776564938021,0.6307002242711175,0.9466733117368498,0.027490498764035812,-0.1151132698279532,0.0
43.45440954843659,5.726748244131159,-9.818613184561666,15.545361428692825,57.297734003910506,74.25811343645316,0.5968063541511356,1.5172855667312923,-0.06824545387225357,0.923740532876857,0.0
44.086524798087254,-11.775858950643851,-10.210062337778103,-1.5657966128657481,34.317162359823364,57.45585007929978,1.4811580112439429,1.2065134699415236,-0.056844945227601654,-0.1476795245267244,0.0
43.66245957868722,-26.65002858813841,-13.498055587850164,-13.151973000288248,11.769234411138749,34.461376924957584,0.21876888019575638,1.747116416494013,-0.056388254642787475,-0.5800570453694721,0.0
40.9319923498673,-46.34244037149574,-20.06693254457928,-26.27550782691646,10.323100563246351,18.80316577806953,0.5599034159505727,1.0203820751367112,-0.07501968509109434,-0.3561972406990737,0.0
46.10502340708309,-49.352820653368326,-25.92411016633709,-23.428710487031235,15.562304237329409,12.551546403904878,1.1953233586787582,0.00027253154553234343,-0.03224048151631109,-0.14526779726422084,0.0
44.02888638190623,-57.09357078129278,-32.15800228932823,-24.935568491964553,17.592931819026553,14.492778873200812,0.042839895626435094,1.4960581732400926,-0.039527402530779764,0.12871932566715832,0.0
43.7682709738027,-63.237536599110626,-38.37390915128471,-24.86362744782592,21.064368658309334,18.073201571555142,1.918770202168091,0.4331177505766127,-0.030599612908768486,0.3572326253202177,0.0
45.30353303797961,-64.11651225011792,-43.52242977105135,-20.59408247906657,19.663752097128235,19.440350858154748,0.8789493425116905,1.1086841408525359,-0.007977937555402305,-0.4057174780051945,0.0
45.238495681834614,-64.23164687982307,-47.664273192805695,-16.56737368701738,22.25677704215239,20.994965932530025,0.6647442707542915,1.2878212999627374,0.003349466432581308,-0.4878821197436793,0.0
48.224573983545646,-57.727417351759414,-49.67690202459644,-8.050515327162977,42.646853844529005,28.189127661269918,1.6919814790774141,0.20230213336795236,0.021292894460545247,-0.2269387582041836,0.0
42.72737654028566,-64.81775128445315,-52.70507187656778,-12.112679407885373,41.502469462415114,35.46870011636554,0.09105227588273485,1.7653396221613276,-0.020033542158465884,-0.09100800030632282,0.0
42.68149230715418,-69.74667101765226,-56.113391704784675,-13.633279312867586,40.156845035232216,41.43538944739215,0.9151291930455941,1.35020452500976,-0.017708016865130766,-0.5202400314501869,0.0
44.817800121199355,-69.04828424431662,-58.70037021269106,-10.347914031625557,30.098177511934683,37.25249733652738,0.8209992686099769,3.1064535399835913,-0.006493236353371841,-0.12753700495519762,0.0
43.10841806655503,-71.43401216555685,-61.24709860326422,-10.18691356229263,33.9096041649423,34.72154223736977,0.8301301904349871,0.34647682565003296,-0.015368700912028223,-0.18243619316154794,0.0
44.78351435877552,-69.7417589737588,-62.94603067736314,-6.795728296395666,41.29939134399972,35.102391006958946,0.7456519973221483,0.19747733212326454,-0.005015447988571781,-0.4597049067549526,0.0
44.88348242790276,-67.46399070128155,-63.84962268214682,-3.614368019134723,40.28628640536099,38.498427304767716,0.04675251959686654,1.680571108622626,-0.004046024300929983,0.28541600012549956,0.0
44.4640969611522,-65.67082193280203,-64.21386253227786,-1.4569594005241697,42.95089117547931,41.51218964161339,2.4527925849200165,1.0355174920771228,-0.004746834951878318,-0.3918702937806844,0.0
40.50420937747353,-70.90362905797838,-65.55181583741796,-5.351813220560416,33.02305755467001,38.75341171183681,0.0057638880883567395,0.16628817134886456,-0.02595545752045775,-0.1507637098943658,0.0
38.06436105231007,-79.13168445168685,-68.26778956027174,-10.863894891415114,22.157711470145205,32.71055340009822,0.21508215962441102,1.1153169014084572,-0.03461074089974593,0.7811887197705641,0.0
37.88800848112618,-85.03056905414542,-71.62034545904648,-13.410223595098941,16.53832464363077,23.906364556148706,0.3320053120849987,2.4256954482953126,-0.03181950499339906,0.83949796145363,0.0
