Date,Time,Contracts,Funding Rate
2019/10/11,08:00:00,BTCUSDT Perpetual,0.01
2019/10/11,16:00:00,BTCUSDT Perpetual,0.01
2019/10/12,00:00:00,BTCUSDT Perpetual,0.01
2019/10/12,08:00:00,BTCUSDT Perpetual,0.01
2019/10/12,16:00:00,BTCUSDT Perpetual,0.01
2019/10/13,00:00:00,BTCUSDT Perpetual,0.01
2019/10/13,08:00:00,BTCUSDT Perpetual,0.01
2019/10/13,16:00:00,BTCUSDT Perpetual,0.01
2019/10/14,00:00:00,BTCUSDT Perpetual,0.01
2019/10/14,08:00:00,BTCUSDT Perpetual,0.01
2019/10/14,16:00:00,BTCUSDT Perpetual,0.01
2019/10/15,00:00:00,BTCUSDT Perpetual,0.01
2019/10/15,08:00:00,BTCUSDT Perpetual,0.01
2019/10/15,16:00:00,BTCUSDT Perpetual,0.01
2019/10/16,00:00:00,BTCUSDT Perpetual,0.01
2019/10/16,08:00:00,BTCUSDT Perpetual,0.01
2019/10/16,16:00:00,BTCUSDT Perpetual,0.01
2019/10/17,00:00:00,BTCUSDT Perpetual,0.01
2019/10/17,08:00:00,BTCUSDT Perpetual,0.01
2019/10/17,16:00:00,BTCUSDT Perpetual,0.01
2019/10/18,00:00:00,BTCUSDT Perpetual,0.01
2019/10/18,08:00:00,BTCUSDT Perpetual,0.01
2019/10/18,16:00:00,BTCUSDT Perpetual,0.01
2019/10/19,00:00:00,BTCUSDT Perpetual,0.01
2019/10/19,08:00:00,BTCUSDT Perpetual,0.01
2019/10/19,16:00:00,BTCUSDT Perpetual,0.01
2019/10/20,00:00:00,BTCUSDT Perpetual,0.01
2019/10/20,08:00:00,BTCUSDT Perpetual,0.01
2019/10/20,16:00:00,BTCUSDT Perpetual,0.01
2019/10/21,00:00:00,BTCUSDT Perpetual,0.01
2019/10/21,08:00:00,BTCUSDT Perpetual,0.01
2019/10/21,16:00:00,BTCUSDT Perpetual,0.01
2019/10/22,00:00:00,BTCUSDT Perpetual,0.01
2019/10/22,08:00:00,BTCUSDT Perpetual,0.01
2019/10/22,16:00:00,BTCUSDT Perpetual,0.01
2019/10/23,00:00:00,BTCUSDT Perpetual,0.01
2019/10/23,08:00:00,BTCUSDT Perpetual,0.01
2019/10/23,16:00:00,BTCUSDT Perpetual,0.01
2019/10/24,00:00:00,BTCUSDT Perpetual,0.01
2019/10/24,08:00:00,BTCUSDT Perpetual,0.01
2019/10/24,16:00:00,BTCUSDT Perpetual,0.01
2019/10/25,00:00:00,BTCUSDT Perpetual,0.0
2019/10/25,08:00:00,BTCUSDT Perpetual,0.01
2019/10/25,16:00:00,BTCUSDT Perpetual,0.01
2019/10/26,00:00:00,BTCUSDT Perpetual,-0.01
2019/10/26,08:00:00,BTCUSDT Perpetual,0.01
2019/10/26,16:00:00,BTCUSDT Perpetual,0.01
2019/10/27,00:00:00,BTCUSDT Perpetual,0.03
2019/10/27,08:00:00,BTCUSDT Perpetual,0.01
2019/10/27,16:00:00,BTCUSDT Perpetual,0.02
