,Date,Open,High,Low,Close,Volume
0,2018-01-01 04:00:00,13372.0,13860.9,12800.0,13048.56,5430.36368361
1,2018-01-02 04:00:00,13048.56,15249.97,12851.0,14912.1,8890.25074377
2,2018-01-03 04:00:00,14912.1,15503.59,14583.47,15100.0,9989.68036563
3,2018-01-04 04:00:00,15100.0,15200.0,14000.0,14970.0,10517.0338068
4,2018-01-05 04:00:00,14970.0,17124.44,14800.0,16567.18,11124.26466
5,2018-01-06 04:00:00,16567.18,17236.46,16298.31,16710.48,6023.03255226
6,2018-01-07 04:00:00,16710.48,16856.01,15514.87,15624.35,5795.35628258
7,2018-01-08 04:00:00,15624.35,16061.98,13825.22,15257.87,12094.4943565
8,2018-01-09 04:00:00,15257.87,15419.24,14006.0,14158.47,8615.10846019
9,2018-01-10 04:00:00,14158.47,14970.0,13100.0,13267.19,9778.47777532
10,2018-01-11 04:00:00,13267.19,14205.4,12810.0,13657.32,10420.9275283
11,2018-01-12 04:00:00,13657.32,14274.8,13359.0,14187.7,7798.07136594
12,2018-01-13 04:00:00,14187.7,14550.0,13913.71,14201.67,3914.5934305
13,2018-01-14 04:00:00,14201.67,14260.69,13100.0,13510.1,4145.15214529
14,2018-01-15 04:00:00,13510.1,14283.26,12738.3,12880.0,6417.74050336
15,2018-01-16 04:00:00,12880.0,13195.0,10001.0,10999.0,22529.7754361
16,2018-01-17 04:00:00,10999.0,11869.98,9125.0,11376.0,23715.7285091
17,2018-01-18 04:00:00,11376.0,12110.0,10677.33,11207.65,14843.464815
18,2018-01-19 04:00:00,11207.65,12018.39,11061.0,11791.44,9109.35799762
19,2018-01-20 04:00:00,11791.44,12999.0,11625.49,12493.74,5846.82654549
20,2018-01-21 04:00:00,12493.74,12555.07,11112.0,11476.88,6640.39942047
21,2018-01-22 04:00:00,11476.88,11865.0,10026.03,10853.37,12448.8653828
22,2018-01-23 04:00:00,10853.37,11372.51,9940.0,10841.02,9911.57321562
23,2018-01-24 04:00:00,10841.02,11693.7,10500.0,11645.01,8520.13175272
24,2018-01-25 04:00:00,11645.01,11645.02,10805.56,11540.0,6803.99726551
25,2018-01-26 04:00:00,11540.0,11550.0,10300.0,11000.5,8517.78100608
26,2018-01-27 04:00:00,11000.5,11535.0,10821.76,11375.05,4669.89505496
27,2018-01-28 04:00:00,11375.05,11878.1,11217.41,11347.72,4343.2246185174
28,2018-01-29 04:00:00,11347.72,11422.33,10800.0,10918.47,5987.0464962754
29,2018-01-30 04:00:00,10918.47,11054.2,9555.0,9897.61,13487.8562744878
30,2018-01-31 04:00:00,9897.61,10299.99,9636.18,9935.42,7705.3891126331
31,2018-02-01 04:00:00,9935.42,10164.68,8411.11,8673.79,17757.7217893513
32,2018-02-02 04:00:00,8673.79,9090.0,7603.0,8285.82,20168.3352031448
33,2018-02-03 04:00:00,8285.82,9494.86,8165.58,9183.98,6382.4151720883
34,2018-02-04 04:00:00,9183.98,9353.45,7830.79,8118.08,8940.8512339262
35,2018-02-05 04:00:00,8118.08,8334.0,6158.38,6313.79,26214.929641086
36,2018-02-06 04:00:00,6313.79,7944.0,5931.34,7262.54,28273.9365305656
37,2018-02-07 04:00:00,7262.54,8589.0,7200.0,7973.07,14408.6768921397
38,2018-02-08 04:00:00,7973.07,8638.99,7768.92,8078.39,14589.1471433198
39,2018-02-09 04:00:00,8078.39,9000.0,7750.0,8945.5,6232.926202564
40,2018-02-10 04:00:00,8945.5,9069.0,8051.29,8060.0,6384.210561029
41,2018-02-11 04:00:00,8060.0,8573.0,7824.48,8484.8,5243.7603581794
42,2018-02-12 04:00:00,8484.8,8985.0,8349.99,8764.99,5087.6132104941
43,2018-02-13 04:00:00,8764.99,8774.99,8379.0,8704.92,5105.7930307999
44,2018-02-14 04:00:00,8704.92,9749.99,8702.88,9666.64,9139.5811308673
45,2018-02-15 04:00:00,9666.64,10307.6,9502.75,10106.0,8987.9011392113
46,2018-02-16 04:00:00,10106.0,10500.0,9710.0,10500.0,5377.5718830559
47,2018-02-17 04:00:00,10500.0,11270.0,10480.0,10851.24,4924.2907370578
48,2018-02-18 04:00:00,10851.24,10990.01,10150.0,10537.81,5947.3200637795
49,2018-02-19 04:00:00,10537.81,11507.0,10403.55,11425.07,4136.9486218176
50,2018-02-20 04:00:00,11425.07,11750.0,10849.99,10902.0,8642.947934707
51,2018-02-21 04:00:00,10902.0,11186.0,10248.0,10744.57,10405.5613936067
52,2018-02-22 04:00:00,10744.57,10939.9,9595.0,9815.34,10538.4640046022
53,2018-02-23 04:00:00,9815.34,10480.0,9684.44,10410.1,5523.3669110674
54,2018-02-24 04:00:00,10410.1,10534.77,9388.97,9582.74,5291.3353098292
55,2018-02-25 04:00:00,9582.74,9870.0,9290.0,9622.46,3193.1866031247
56,2018-02-26 04:00:00,9622.46,10433.88,9399.0,10271.72,5708.5654993123
57,2018-02-27 04:00:00,10271.72,10950.0,10215.78,10908.9,6093.6271579309
58,2018-02-28 04:00:00,10908.9,11050.0,10200.0,10354.0,5624.5558600598
59,2018-03-01 04:00:00,10354.0,11200.0,10336.01,11102.3,5234.3286056338
60,2018-03-02 04:00:00,11102.3,11365.0,10779.44,11283.37,3574.4169434535
61,2018-03-03 04:00:00,11283.37,11484.98,11109.0,11158.51,1638.8123941994
62,2018-03-04 04:00:00,11158.51,11575.98,11060.01,11551.01,1882.05909038
63,2018-03-05 04:00:00,11551.01,11650.01,11175.0,11249.88,3538.1375086451
64,2018-03-06 04:00:00,11249.88,11328.73,10563.93,10735.22,4754.1059441269
65,2018-03-07 04:00:00,10735.22,10815.41,9375.0,9562.28,11595.3126383251
66,2018-03-08 04:00:00,9562.28,10100.0,8872.91,8986.47,8997.6938692121
67,2018-03-09 04:00:00,8986.47,9430.0,8370.0,9249.99,10690.0767800029
68,2018-03-10 04:00:00,9249.99,9515.21,8544.95,8648.35,3603.8802276942
69,2018-03-11 04:00:00,8648.35,9772.42,8578.1,9439.6,4806.4800046019
70,2018-03-12 04:00:00,9439.6,9898.0,8760.0,9061.57,8050.1949261567
71,2018-03-13 04:00:00,9061.57,9500.0,8850.0,9259.03,5461.6297621119
72,2018-03-14 04:00:00,9259.03,9259.03,7749.0,7889.99,11379.0243021945
73,2018-03-15 04:00:00,7889.99,8416.92,7675.35,8042.9,9378.6517544868
74,2018-03-16 04:00:00,8042.9,8607.11,8037.5,8220.82,5750.8191161756
75,2018-03-17 04:00:00,8220.82,8350.0,7551.0,7676.9,4815.1032048637
76,2018-03-18 04:00:00,7676.9,8439.99,7319.0,8174.2,10289.2131733486
77,2018-03-19 04:00:00,8174.2,8744.68,8120.0,8603.0,8074.7440239289
78,2018-03-20 04:00:00,8603.0,9060.0,8327.35,9038.4,7370.1114425475
79,2018-03-21 04:00:00,9038.4,9180.0,8755.0,9033.87,6105.6690499137
80,2018-03-22 04:00:00,9033.87,9065.71,8337.74,8415.89,7160.9492335148
81,2018-03-23 04:00:00,8415.89,8990.0,8288.01,8910.0,4856.6692266558
82,2018-03-24 04:00:00,8910.0,9000.0,8450.0,8557.8,3556.118093218
